DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update,Start Date,End Date,Duration (Days),Season
2000-0054-AFG,No,nat-bio-epi-vir,Natural,Biological,2,39,GLIDE:TC-2024-000161,Dengue,AFG,0,Southern Asia,0,"Darra Souf, Jaghuri, Zindajan, Ghorian Districts, Badakshan, Kunduz, Heart",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Vaccinated,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,15.0,2000,1.0,16.0,0.06950368964320981,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2003-07-01,2023-09-25,2000-01-15,2000-01-16,-0.22918458928740526,1
2000-0065-IRN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009ne8,Dengue,IRN,14,Southern Asia,0,"Mohammadieh, Sarhozak, Hajiabad areas (Kashmar district, Khorasan province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.1769017695025681,Moment Magnitude,1.3794000177346437,-2.684282088239798,Yangtze river,2000,2.0,14.0,2000,2.0,14.0,-0.051048969604948785,44.0,1000.0,3000.0,-0.10688631165215552,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":40992,""adm2_name"":""Kashmar""}]",2003-07-01,2023-09-25,2000-02-14,2000-02-14,-0.248165637509339,1
2000-0066-PHL,No,nat-hyd-flo-coa,Natural,Hydrological,4,5,GLIDE:TC-2024-000161,Dengue,PHL,31,South-eastern Asia,0,Tawi-Tawi district (ARMM province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17692689373600853,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,22.0,2000,1.0,22.0,-0.051048969604948785,44.0,22200.0,5250.0,-0.10641141389884136,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":24203,""adm2_name"":""Tawi-tawi""}]",2003-07-01,2023-09-25,2000-01-22,2000-01-22,-0.248165637509339,1
2000-0082-IDN,No,nat-hyd-mmw-mud,Natural,Hydrological,8,24,GLIDE:TC-2024-000161,Dengue,IDN,13,South-eastern Asia,0,Brebes district (Jawa Tengah province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,2.0,22.0,2000,2.0,24.0,-0.04686653040654328,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,11600.0,20526.0,56.51429055927763,"[{""adm2_code"":18035,""adm2_name"":""Brebes""}]",2005-07-21,2023-09-25,2000-02-22,2000-02-24,-0.21020354106547148,1
2000-0089-PHL,No,nat-geo-vol-ash,Natural,Geophysical,10,0,GLIDE:TC-2024-000161,Mt. Mayon,PHL,31,South-eastern Asia,0,"Legazpi City area (Albay district, Region V (Bicol region) province)",Heavy rains,"Slide (land, mud, snow, rock)",Yes,No,No,647.0,-0.17485083865698572,Km2,-1.6341640904131494,1.7436937404036823,Yangtze river,2000,2.0,24.0,2000,3.0,9.0,-0.051048969604948785,44.0,68426.0,3000.0,-0.09935208673098819,10000000.0,10411641.0,147000.0,199782.0,2214.0,3918.0,56.51429055927763,"[{""adm2_code"":24240,""adm2_name"":""Albay""}]",2005-06-01,2023-09-25,2000-02-24,2000-03-09,0.017569037597733615,1
2000-0094-ISR,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,ISR,16,Western Asia,0,"Jerusalem, Tel Aviv provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17564423550247213,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,19.0,2000,1.0,19.0,-0.054493331297753314,44.0,410.0,3000.0,-0.10695223863438032,10000000.0,10411641.0,147000.0,199782.0,2750.0,4866.0,56.51429055927763,"[{""adm1_code"":1612,""adm1_name"":""Jerusalem""},{""adm1_code"":1615,""adm1_name"":""Tel Aviv""}]",2003-07-01,2023-09-25,2000-01-19,2000-01-19,-0.248165637509339,1
2000-0095-JOR,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,JOR,18,Western Asia,0,"Ajloon, Amman, Aqaba, Balqa, Irbid, Jarash, Karak, Ma'an, Madaba, Mafraq, Tafiela, Zarqa provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.1759087011176343,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,24.0,2000,1.0,24.0,-0.05301717628655137,200.0,22200.0,3000.0,-0.10697570417042643,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":1701,""adm1_name"":""Ajloon""},{""adm1_code"":1702,""adm1_name"":""Balqa""},{""adm1_code"":1703,""adm1_name"":""Aqaba""},{""adm1_code"":1704,""adm1_name"":""Karak""},{""adm1_code"":1705,""adm1_name"":""Amman""},{""adm1_code"":1706,""adm1_name"":""Tafiela""},{""adm1_code"":1707,""adm1_name"":""Irbid""},{""adm1_code"":1708,""adm1_name"":""Jarash""},{""adm1_code"":1709,""adm1_name"":""Ma'an""},{""adm1_code"":1710,""adm1_name"":""Madaba""},{""adm1_code"":1711,""adm1_name"":""Mafraq""},{""adm1_code"":1712,""adm1_name"":""Zarqa""}]",2003-07-01,2023-09-25,2000-01-24,2000-01-24,-0.248165637509339,1
2000-0108-IDN,No,nat-bio-epi-vir,Natural,Biological,2,39,GLIDE:TC-2024-000161,Dengue fever,IDN,13,South-eastern Asia,0,Jakarta,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Vaccinated,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,15.0,2000,1.0,16.0,-0.05277115045135105,44.0,1516.0,3000.0,-0.1068286534778708,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2003-07-01,2023-09-25,2000-01-15,2000-01-16,-0.22918458928740526,1
2000-0117-IDN,No,nat-cli-wil-for,Natural,Climatological,11,11,GLIDE:TC-2024-000161,Dengue,IDN,13,South-eastern Asia,0,"Riau province (Sumatra Isl.), Kalimatan Barat, Kalimatan Tengah provinces (Borneo Isl.) ",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,2.0,15.0,2000,2.0,16.0,-0.051048969604948785,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":1522,""adm1_name"":""Kalimantan Barat""},{""adm1_code"":1524,""adm1_name"":""Kalimantan Tengah""},{""adm1_code"":73618,""adm1_name"":""Riau""}]",2003-07-01,2023-09-25,2000-02-15,2000-02-16,-0.22918458928740526,1
2000-0119-PAK,No,nat-bio-epi-dis,Natural,Biological,2,16,GLIDE:TC-2024-000161,Dengue,PAK,30,Southern Asia,0,"Tharparkar, Sindh Province",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Vaccinated,0.11112317404147908,0.11843532489868315,Yangtze river,2000,3.0,15.0,2000,3.0,16.0,-0.03185895445932354,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2003-07-01,2023-09-25,2000-03-15,2000-03-16,-0.22918458928740526,2
2000-0146-BGD,No,nat-met-sto-tor,Natural,Meteorological,9,36,GLIDE:TC-2024-000161,Dengue,BGD,3,Southern Asia,0,Natore district (Rajshahi province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,3.0,5.0,2000,3.0,5.0,-0.051048969604948785,50.0,22200.0,3000.0,-0.10665724332408634,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":5812,""adm2_name"":""Natore""}]",2005-04-24,2023-09-25,2000-03-05,2000-03-05,-0.248165637509339,2
2000-0156-CHN,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,CHN,6,Eastern Asia,0,"Qi Xian area (Jinzhong district, Shanxi Sheng province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17592192439839238,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,3.0,28.0,2000,3.0,28.0,-0.05129499544014911,53.0,22200.0,3000.0,-0.1069921300456587,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":13252,""adm2_name"":""Jinzhong""}]",2005-04-24,2023-09-25,2000-03-28,2000-03-28,-0.248165637509339,2
2000-0159-MYS,No,nat-bio-epi-dis,Natural,Biological,2,16,GLIDE:TC-2024-000161,Dengue,MYS,24,South-eastern Asia,0,Sarawak,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Vaccinated,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,15.0,2000,1.0,16.0,-0.05473935713295364,44.0,480.0,3000.0,-0.10694441678903162,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2003-07-01,2023-09-25,2000-01-15,2000-01-16,-0.22918458928740526,1
2000-0163-CHN,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,CHN,6,Eastern Asia,0,Ili Kazakh district (Xinjiang Uygur Zizhiqu province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,10.0,2000,1.0,10.0,-0.05301717628655137,4.0,18000.0,3000.0,-0.1049862736763075,10000000.0,10411641.0,147000.0,199782.0,3100.0,5485.0,56.51429055927763,"[{""adm2_code"":13292,""adm2_name"":""Ili Kazakh""}]",2003-07-01,2023-09-25,2000-01-10,2000-01-10,-0.248165637509339,1
2000-0176-JPN,No,nat-geo-vol-ash,Natural,Geophysical,10,0,GLIDE:TC-2024-000161,Mt. Isu,JPN,17,Eastern Asia,0,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,1.3386427982392026,2.786981893588114,Yangtze river,2000,3.0,31.0,2000,4.0,13.0,-0.051048969604948785,44.0,12400.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":34168,""adm2_name"":""Abutatyoo""},{""adm2_code"":34187,""adm2_name"":""Datesi""},{""adm2_code"":34341,""adm2_name"":""Soobetutyoo""}]",2014-07-28,2023-09-25,2000-03-31,2000-04-13,-0.0014120106242001427,2
2000-0184-BGD,No,nat-bio-epi-dis,Natural,Biological,2,16,GLIDE:TC-2024-000161,Acute diarroheal syndrome,BGD,3,Southern Asia,0,Barisal,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Vaccinated,0.11112317404147908,0.11843532489868315,Yangtze river,2000,3.0,15.0,2000,3.0,16.0,-0.051048969604948785,44.0,3352.0,3000.0,-0.10662349764843908,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2003-07-01,2023-09-25,2000-03-15,2000-03-16,-0.22918458928740526,2
2000-0188-TUR,No,nat-cli-wil-for,Natural,Climatological,11,11,GLIDE:TC-2024-000161,Dengue,TUR,44,Western Asia,0,"Bursa, Canakkale, Balikesir provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17686077733221797,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,4.0,5.0,2000,4.0,5.0,-0.051048969604948785,44.0,22200.0,350.0,-0.10695894307325063,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":3028,""adm1_name"":""Balikesir""},{""adm1_code"":3037,""adm1_name"":""Bursa""},{""adm1_code"":3038,""adm1_name"":""Canakkale""}]",2003-07-01,2023-09-25,2000-04-05,2000-04-05,-0.248165637509339,2
2000-0194-KOR,No,nat-cli-wil-for,Natural,Climatological,11,11,GLIDE:TC-2024-000161,Dengue,KOR,33,Eastern Asia,0,"Kangnung, Tonghae, Samchok cities (Kang-won-do province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17564423550247213,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,4.0,6.0,2000,4.0,6.0,-0.05473935713295364,15.0,22200.0,840.0,-0.10690251404609212,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":2437,""adm1_name"":""Kang-won-do""}]",2003-07-01,2023-09-25,2000-04-06,2000-04-06,-0.248165637509339,2
2000-0200-CHN,No,nat-hyd-flo-riv,Natural,Hydrological,4,27,GLIDE:TC-2024-000161,Dengue,CHN,6,Eastern Asia,0,"Shenzhen, Zhuhai, Zhongshan districts (Guangdong Sheng province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,0.10072233234196447,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,4.0,13.0,2000,4.0,17.0,-0.05154102127534943,44.0,40000.0,3000.0,-0.10252842638644903,10000000.0,10411641.0,147000.0,199782.0,12000.0,21234.0,56.51429055927763,"[{""adm2_code"":13030,""adm2_name"":""Shenzhen""},{""adm2_code"":13031,""adm2_name"":""Zhuhai""},{""adm2_code"":13045,""adm2_name"":""Zhongshan""}]",2004-10-27,2023-09-25,2000-04-13,2000-04-17,-0.17224144462160398,2
2000-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Dengue,BGD,3,Southern Asia,0,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17537976988731,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,4.0,21.0,2000,4.0,21.0,-0.05031089209934781,300.0,22200.0,62500.0,-0.09998073961572831,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2005-04-24,2023-09-25,2000-04-21,2000-04-21,-0.248165637509339,2
2000-0213-SAU,No,nat-bio-epi-bac,Natural,Biological,2,3,GLIDE:TC-2024-000161,Meningococcal disease,SAU,34,Western Asia,0,Taiwan Sheng province,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,3.0,15.0,2000,4.0,27.0,-0.041207936196935836,44.0,168.0,3000.0,-0.10697927987115727,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2005-06-16,2023-09-25,2000-03-15,2000-04-27,0.5680194360338127,2
2000-0229-BGD,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Dengue,BGD,3,Southern Asia,0,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.1759087011176343,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,4.0,11.0,2000,4.0,11.0,-0.051048969604948785,12.0,22200.0,7000.0,-0.1062145268773497,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""}]",2003-07-01,2023-09-25,2000-04-11,2000-04-11,-0.248165637509339,2
2000-0230-IDN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009sbh,Dengue,IDN,13,South-eastern Asia,0,"Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)",Heavy rains,Tsunami/Tidal wave,No,No,No,215.0,-0.17686606664452123,Moment Magnitude,-3.6050569738930496,1.736123395527967,Yangtze river,2000,5.0,4.0,2000,5.0,4.0,-0.04416024621933972,270.0,22200.0,52500.0,-0.10110149831354975,10000000.0,10411641.0,147000.0,199782.0,30000.0,53084.0,56.51429055927763,"[{""adm2_code"":73637,""adm2_name"":""Banggai Kepulauan""},{""adm2_code"":73638,""adm2_name"":""Banggai""}]",2005-07-09,2023-09-25,2000-05-04,2000-05-04,-0.248165637509339,2
